sample	fq1	fq2	timepoint	replicate
0-1	0-1_1.fq.gz	0-1_2.fq.gz	0	1
0-2	0-2_1.fq.gz	0-2_2.fq.gz	0	2
0-3	0-3_1.fq.gz	0-3_2.fq.gz	0	3
15-1	15-1_1.fq.gz	15-1_2.fq.gz	15	1
15-2	15-2_1.fq.gz	15-2_2.fq.gz	15	2
15-4	15-4_1.fq.gz	15-4_2.fq.gz	15	4
30-1	30-1_1.fq.gz	30-1_2.fq.gz	30	1
30-2	30-2_1.fq.gz	30-2_2.fq.gz	30	2
30-3	30-3_1.fq.gz	30-3_2.fq.gz	30	3
6-1	6-1_1.fq.gz	6-1_2.fq.gz	6	1
6-3	6-3_1.fq.gz	6-3_2.fq.gz	6	3
6-4	6-4_1.fq.gz	6-4_2.fq.gz	6	4
60-1	60-1_1.fq.gz	60-1_2.fq.gz	60	1
60-2	60-2_1.fq.gz	60-2_2.fq.gz	60	2
60-3	60-3_1.fq.gz	60-3_2.fq.gz	60	3
90-2	90-2_1.fq.gz	90-2_2.fq.gz	90	2
90-3	90-3_1.fq.gz	90-3_2.fq.gz	90	3
90-6	90-6_1.fq.gz	90-6_2.fq.gz	90	6
